temp,Column1,label
42.3,0.2301558,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Calm 
44.1,0.2301558,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Calm 
46.3,0.3452337,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf  | Calm
52.5,0.4603116,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf  | Calm
52.5,0.5753895,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Calm 
56.1,0.5753895,Shirt | Pants | Jacket | Long Sleeves | Calm
50.6,0.8055453,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Calm 
51.5,0.8055453,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf  | Calm
45.7,0.9206232,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Calm 
46.7,0.9206232,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Calm 
50.7,0.9206232,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Calm 
53.8,0.9206232,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Calm 
55.6,0.9206232,Shirt | Pants | Jacket | Long Sleeves | Calm
58.4,0.9206232,Shirt | Pants | Jacket | Long Sleeves | Calm
59.2,0.9206232,Shirt | Pants | Jacket | Long Sleeves | Calm
62.6,1.0357011,Shirt | Pants | Jacket | Long Sleeves | Calm
42.6,1.150779,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
46.3,1.150779,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
57.5,1.150779,Shirt | Pants | Jacket | Long Sleeves | Light Air
27.9,1.2658569,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Air
49.5,1.2658569,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
35.6,1.3809348,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
51.2,1.3809348,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
52.4,1.3809348,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
28.7,1.6110906,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Air
30.9,1.6110906,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Air
52,1.6110906,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf  | Light Air
55.9,1.6110906,Shirt | Pants | Jacket | Long Sleeves | Light Air
58.6,1.6110906,Shirt | Pants | Jacket | Long Sleeves | Light Air
27.2,1.7261685,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Air
28.8,1.7261685,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Air
48.5,1.7261685,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
53,1.7261685,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
55.1,1.7261685,Shirt | Pants | Jacket | Long Sleeves | Light Air
55.7,1.7261685,Shirt | Pants | Jacket | Long Sleeves | Light Air
57.9,1.7261685,Shirt | Pants | Jacket | Long Sleeves | Light Air
26.2,1.8412464,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Air
28.5,1.8412464,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | LIght Air
28.6,1.8412464,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Air
32.2,1.8412464,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Air
52.7,1.8412464,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
